token_type,token_address,receiver,amount,id
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdf67c7d23199353361437ee257e04e06ccee1c28,269.885769,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x87d93d9b2c672bf9c9642d853a8682546a5012b5,232.033087,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf62b2e3c421c76f1063f65f45c30540393243762,198.965116,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6c2693f5a936f37ed03cfa8465bf2d8beff19a0f,196.249679,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x94a468fcb53a043bf5cd95ef21892e02c71134be,170.988367,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x783577d7081dbe04c025674aa6abdd70de778757,170.730929,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe58585b22cc2ac4270a2b92c2d2d8c5db5a3330e,113.425271,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x15c577f4b9fbe66735a9bff9b0b5d3ea2854bfaa,105.149649,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x79330aab8c32e616b4b9b177eeb72264c611118a,94.246168,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x1f08863f246fe456f94579d1a2009108b574f509,94.006025,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb8d626be13f79f07ca5423a50f070b77c05efd62,85.811941,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x891ca7e61d3868b9edbf20ddd045fc7d579e77d5,85.763496,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x87ade546353bf88bc84d356ef6983e06c5ccbd2e,84.083918,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc960338b529e0353f570f62093fd362b8fb55f0b,83.467063,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x27b5491b519e72ce52f0dc9ccc9d7dc3d1e7b964,81.766171,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf8fb3009db52f13aab673481dde89c87c415b120,80.631222,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe6a1d45f531b1b327462b9b2ec5e810b4c2306ba,79.996499,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa01876dfa59ebc1442d146ba42c08ba92dc96436,78.015782,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xef2cd02960bd303c000c48c6ea95f651cfb83205,75.985204,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa3f834db7de947523438fd375a9122a0045d8b7b,72.124727,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x14bdfda5b5b829f14332a52c15129386284ce36a,67.218849,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe4255168472564eb1b8aa8f53248e13754a6a230,63.187850,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xba34ffa13857284bba51f9fda60fce5d7cee8955,61.874246,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xeb1e9e1544851a7230c54e7cafd7b2f56ba1cafb,60.198682,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6e143394af5f4f5701bcf4298074d5c28eea1c99,58.933519,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0e3aace3868229798f989c6f002a6b64b54e8c6b,58.422927,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd50f6325b568a978a0d95106f35e368fac475332,53.667297,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3c0a8cf359b6f2ae552bd2b11224aa920daa2e7a,39.173525,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x91c77c0b92a7d54be7b3c4f48d95b687cfedbf78,35.927706,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x5a28300f1c3d6eeb044aa6e96af38391cc6e47f2,33.955404,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc348b5dd7c64a47ef461cd325611b7b8155d16bc,32.239388,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x784a4ca4982c5c3ebbe37c8e4f9483a04e74cb7b,31.664724,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xea9991acee7d9d56f591947177d1bcd23a8f894a,30.667896,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x08e305f123faff04a6a24243f47984a7a9702417,29.982495,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0db6bff4127183bf64eedd2bc77baa374b9ea92f,19.610399,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x421a8a0c6388faa1550e2636538d8d7605a8cede,16.879337,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x73a403d4d015835b5621bd23013f1e86743f1a01,15.694008,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xd3ce8ffe3024650e6c09215197cbad57482a9ef4,15.363576,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x0c52c24245e40362250185dda980996a47585396,13.020321,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf632499bf9e43d01deea618a656c3c38ebce866b,12.779361,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x74366e861394076436001a7b66f9d754c2f134a5,10.969935,
erc20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xedddc164b3491d6b8b644548ec32d32319ed66bd,10.894872,
